GeoID_Name,"Per-Capita Income, with GEOID"
36005000100,4082
36005000200,26306
36005000400,40425
36005001600,31058
36005001901,30965
36005001902,27893
36005001903,N/A
36005001904,N/A
36005002001,12175
36005002002,31319
36005002300,14726
36005002400,N/A
36005002500,11924
36005002701,10312
36005002702,11594
36005002800,31346
36005003100,22223
36005003300,12204
36005003500,15766
36005003700,19405
36005003800,30868
36005003900,16958
36005004001,33726
36005004100,14613
36005004200,23593
36005004300,18660
36005004400,11989
36005004600,15116
36005004800,20561
36005005001,14678
36005005002,15622
36005005100,10116
36005005200,18212
36005005300,9371
36005005400,17986
36005005600,24643
36005005902,30304
36005006000,17029
36005006100,37217
36005006200,13516
36005006301,34993
36005006302,N/A
36005006400,18754
36005006500,13780
36005006700,12286
36005006800,18991
36005006900,23810
36005007000,21623
36005007100,26382
36005007200,20596
36005007300,11366
36005007400,26818
36005007500,17091
36005007600,22690
36005007700,18074
36005007800,25595
36005007900,13309
36005008300,19961
36005008400,30917
36005008500,25971
36005008600,17736
36005008700,18043
36005008900,18834
36005009000,17626
36005009200,24175
36005009301,22244
36005009302,8306
36005009600,22094
36005009800,30298
36005011000,N/A
36005011502,14681
36005011701,12113
36005011702,N/A
36005011800,34622
36005011900,16227
36005012101,23747
36005012102,18619
36005012300,20793
36005012500,21068
36005012701,18361
36005012901,16033
36005013000,40097
36005013100,19606
36005013200,43889
36005013300,22721
36005013500,14572
36005013800,38862
36005014100,20464
36005014300,12609
36005014400,21346
36005014500,25710
36005014701,11275
36005014702,11373
36005014900,15099
36005015100,17643
36005015200,37113
36005015300,20652
36005015500,16769
36005015700,21248
36005015800,31774
36005015900,19613
36005016000,39726
36005016100,16730
36005016200,31502
36005016300,N/A
36005016400,32314
36005016500,15502
36005016600,38006
36005016700,21899
36005016900,18368
36005017100,N/A
36005017300,16638
36005017500,14467
36005017701,15758
36005017702,21693
36005017901,18103
36005017902,18413
36005018101,17719
36005018102,18010
36005018301,31308
36005018302,26633
36005018400,33416
36005018501,25478
36005018502,12033
36005018900,17382
36005019300,14932
36005019400,30019
36005019500,17596
36005019700,14321
36005019900,21932
36005020000,18267
36005020100,20533
36005020200,23567
36005020400,22728
36005020501,13645
36005020502,26003
36005020601,25027
36005020900,19311
36005021001,30924
36005021002,30467
36005021100,15498
36005021200,29472
36005021301,16507
36005021302,13444
36005021501,19433
36005021502,14450
36005021601,22169
36005021602,25699
36005021700,20694
36005021800,25613
36005021900,19647
36005022000,24300
36005022101,14073
36005022102,13896
36005022200,19676
36005022300,14583
36005022401,31621
36005022403,31920
36005022404,31999
36005022500,20197
36005022701,20943
36005022702,17480
36005022703,22329
36005022800,35088
36005022901,20127
36005022902,20495
36005023000,20666
36005023100,13859
36005023200,24151
36005023301,21006
36005023302,14774
36005023501,14441
36005023502,21454
36005023600,22826
36005023702,19029
36005023703,12060
36005023704,16392
36005023800,26167
36005023900,13210
36005024000,27081
36005024100,17238
36005024300,16153
36005024400,30540
36005024501,16265
36005024502,23786
36005024600,31213
36005024700,28166
36005024800,28958
36005024900,N/A
36005025000,35388
36005025100,22356
36005025200,32675
36005025300,16792
36005025400,37018
36005025500,14569
36005025600,29062
36005025700,23296
36005026100,40758
36005026300,19280
36005026400,32421
36005026500,19049
36005026601,27922
36005026602,26493
36005026701,20797
36005026702,22378
36005026900,21667
36005027300,24482
36005027401,41216
36005027402,43057
36005027600,8675
36005027700,20754
36005027900,28912
36005028100,38754
36005028300,17622
36005028400,11120
36005028500,34683
36005028600,44883
36005028700,30760
36005028800,38803
36005028900,32049
36005029301,91933
36005029302,79612
36005029500,53548
36005029600,35576
36005029700,56039
36005030000,35361
36005030100,51581
36005030201,32953
36005030202,31344
36005030701,72956
36005030900,58344
36005031000,36424
36005031200,38637
36005031400,31787
36005031600,39180
36005031800,39043
36005031900,2293
36005032300,64272
36005032400,18384
36005032600,33749
36005032800,21628
36005033000,19180
36005033201,27446
36005033202,27211
36005033400,22587
36005033500,53875
36005033601,20724
36005033602,25483
36005033700,59866
36005033801,27725
36005033802,20975
36005034000,25049
36005034200,34530
36005034300,37824
36005034400,27808
36005034500,45964
36005034800,22867
36005035000,32496
36005035100,46038
36005035600,39022
36005035800,33291
36005035900,14594
36005036000,30076
36005036100,14618
36005036300,16264
36005036400,28896
36005036501,17791
36005036502,16876
36005036700,21618
36005036800,23001
36005036901,12840
36005036902,13663
36005037000,29210
36005037100,29177
36005037200,25882
36005037300,16680
36005037400,18452
36005037504,14822
36005037600,25507
36005037800,23034
36005037900,15778
36005038000,25852
36005038100,18295
36005038200,26375
36005038301,19978
36005038303,15452
36005038304,10381
36005038500,17600
36005038600,23125
36005038700,21405
36005038800,27933
36005038900,15272
36005039000,25333
36005039100,24435
36005039200,30632
36005039300,15257
36005039400,23323
36005039500,18712
36005039600,21163
36005039700,7689
36005039800,26262
36005039901,14904
36005039902,16362
36005040100,14471
36005040302,13812
36005040303,17783
36005040304,17168
36005040400,33302
36005040501,20115
36005040502,18723
36005040600,21257
36005040701,20462
36005040702,18594
36005040800,18390
36005040900,34391
36005041100,21591
36005041300,24875
36005041400,30075
36005041500,22891
36005041800,25164
36005041900,25070
36005042000,19735
36005042100,22195
36005042200,31747
36005042300,20394
36005042400,29432
36005042500,18854
36005042600,35989
36005042800,31927
36005042901,23207
36005042902,22669
36005043000,26762
36005043101,19158
36005043102,17654
36005043400,37115
36005043501,14169
36005043502,N/A
36005043503,N/A
36005043600,25510
36005044200,18709
36005044400,31531
36005044800,37566
36005044901,52274
36005044902,47917
36005045101,51559
36005045102,46106
36005045600,47859
36005045800,16067
36005046000,21081
36005046203,27237
36005046204,28657
36005046205,38697
36005046206,34630
36005046207,34834
36005046208,24401
36005046209,19047
36005048401,33019
36005048402,N/A
36005050400,N/A
36005051601,57509
36005051602,N/A
36047000100,159280
36047000200,25747
36047000301,149451
36047000501,80010
36047000502,107968
36047000700,118922
36047000900,133081
36047001100,100093
36047001300,87493
36047001501,54264
36047001502,82974
36047001801,295
36047001802,N/A
36047001803,N/A
36047001804,N/A
36047002000,22547
36047002100,127833
36047002200,23706
36047002300,12081
36047002901,13702
36047003000,41548
36047003101,71609
36047003102,N/A
36047003300,82151
36047003400,46510
36047003500,97395
36047003600,48814
36047003700,125691
36047003800,68368
36047003900,75542
36047004100,101768
36047004300,106251
36047004400,66430
36047004500,92162
36047004600,64076
36047004700,74740
36047004900,82601
36047005000,64153
36047005100,85108
36047005201,94662
36047005202,69845
36047005301,63945
36047005302,43841
36047005303,N/A
36047005400,66564
36047005601,55657
36047005602,55460
36047005800,43776
36047005900,69248
36047006000,39886
36047006200,44953
36047006300,81049
36047006400,40598
36047006500,92493
36047006600,46688
36047006700,114649
36047006800,32996
36047006901,76121
36047006902,113527
36047007000,56659
36047007100,40056
36047007200,22248
36047007400,22835
36047007500,90038
36047007600,24128
36047007700,105646
36047007800,22548
36047008000,31839
36047008200,35437
36047008400,30224
36047008500,12673
36047008600,N/A
36047008800,34651
36047009001,21804
36047009002,25976
36047009201,28882
36047009202,21440
36047009401,17291
36047009402,24595
36047009600,26735
36047009800,19099
36047010000,20729
36047010100,50420
36047010200,21583
36047010401,18993
36047010402,16092
36047010601,20384
36047010602,18154
36047010801,22175
36047010802,20175
36047011000,18427
36047011200,18326
36047011400,18055
36047011600,14575
36047011700,55545
36047011800,26608
36047011901,78492
36047011902,N/A
36047012000,15742
36047012100,64589
36047012200,21638
36047012600,24582
36047012700,54305
36047012801,30478
36047012901,98828
36047012902,81225
36047013000,33321
36047013100,97692
36047013200,27978
36047013300,117724
36047013400,37893
36047013500,89964
36047013600,53172
36047013700,80902
36047013800,32743
36047013900,78878
36047014000,37147
36047014101,65426
36047014102,66506
36047014200,32146
36047014300,81857
36047014500,64257
36047014700,48955
36047014800,48724
36047014901,78180
36047014902,65309
36047015000,34958
36047015100,92859
36047015200,45236
36047015300,87559
36047015400,N/A
36047015500,103091
36047015700,99564
36047015900,112922
36047016000,34414
36047016100,96922
36047016200,53876
36047016300,86822
36047016400,34259
36047016500,124112
36047016600,53218
36047016700,93248
36047016800,40648
36047016900,75860
36047017000,36392
36047017100,81314
36047017200,44455
36047017400,40125
36047017500,N/A
36047017600,44333
36047017700,N/A
36047017800,29606
36047017900,44983
36047018000,31783
36047018100,92192
36047018200,28475
36047018300,98374
36047018400,37189
36047018501,31373
36047018600,36873
36047018700,63061
36047018800,34002
36047019000,30798
36047019100,61514
36047019200,17128
36047019300,45155
36047019400,21948
36047019500,59961
36047019600,27762
36047019700,86846
36047019800,36292
36047019900,93279
36047020000,28459
36047020100,75776
36047020200,35827
36047020300,75086
36047020400,70617
36047020500,77787
36047020600,39016
36047020700,87338
36047020800,30870
36047021000,23184
36047021100,42745
36047021200,28869
36047021300,39735
36047021400,21902
36047021500,60580
36047021600,16401
36047021700,52870
36047021800,18886
36047021900,63078
36047022000,18318
36047022100,43374
36047022200,15917
36047022400,14337
36047022600,19750
36047022700,62249
36047022800,17497
36047022900,60255
36047023000,13924
36047023100,70208
36047023200,15255
36047023300,43389
36047023400,12269
36047023500,26084
36047023600,10731
36047023800,15596
36047024000,13184
36047024100,41769
36047024200,26705
36047024300,49764
36047024400,19876
36047024500,54373
36047024600,25724
36047024700,48620
36047024800,26529
36047024900,49526
36047025000,21749
36047025100,41873
36047025200,21972
36047025300,39363
36047025400,29405
36047025500,17559
36047025600,23545
36047025700,45733
36047025800,22130
36047025901,37983
36047025902,9955
36047026000,26985
36047026100,34976
36047026200,28594
36047026300,37340
36047026400,25050
36047026500,50491
36047026600,20376
36047026700,52452
36047026800,27807
36047026900,53477
36047027000,22560
36047027100,38929
36047027200,45050
36047027300,34583
36047027400,22112
36047027500,43317
36047027600,23592
36047027700,32753
36047027800,29254
36047027900,42188
36047028000,32708
36047028100,22978
36047028200,32172
36047028300,23057
36047028400,25138
36047028501,30523
36047028502,22184
36047028600,19893
36047028700,41721
36047028800,25879
36047028900,28582
36047029000,25919
36047029100,44862
36047029200,25358
36047029300,41710
36047029400,25530
36047029500,57222
36047029600,24369
36047029700,48318
36047029800,21982
36047029900,25849
36047030000,26920
36047030100,34920
36047030200,29601
36047030300,23557
36047030400,26646
36047030500,55824
36047030600,26301
36047030700,21176
36047030800,33655
36047030900,40177
36047031100,31115
36047031300,48284
36047031401,36793
36047031402,N/A
36047031500,49400
36047031701,48488
36047031702,55357
36047031900,48671
36047032100,37487
36047032300,37477
36047032500,31448
36047032600,19812
36047032700,54211
36047032800,18689
36047032900,31605
36047033000,13955
36047033100,25851
36047033300,26092
36047033500,42545
36047033600,39169
36047033701,32112
36047033702,24056
36047033900,36558
36047034000,12141
36047034100,43178
36047034200,14896
36047034300,24234
36047034500,34646
36047034700,28575
36047034800,20143
36047034901,22437
36047034902,25905
36047035000,31815
36047035101,17510
36047035102,27766
36047035200,15809
36047035301,23780
36047035302,31986
36047035400,44680
36047035500,27744
36047035601,25428
36047035602,33816
36047035701,22873
36047035702,N/A
36047035900,28290
36047036001,31405
36047036002,25479
36047036100,15568
36047036200,26631
36047036300,19663
36047036400,25563
36047036501,22115
36047036502,17975
36047036600,21197
36047036700,24714
36047036900,21652
36047037000,34938
36047037100,29547
36047037300,36084
36047037401,31254
36047037402,30094
36047037500,59201
36047037700,45259
36047037900,31398
36047038100,32006
36047038200,13158
36047038300,41557
36047038500,42430
36047038600,27943
36047038700,35047
36047038800,31493
36047038900,36120
36047039000,31941
36047039100,44713
36047039200,34338
36047039300,33772
36047039400,42900
36047039500,32143
36047039600,37279
36047039700,36877
36047039800,25492
36047039900,31302
36047040000,26647
36047040100,36294
36047040200,27186
36047040300,32713
36047040400,35945
36047040500,26409
36047040600,26635
36047040700,N/A
36047040800,36012
36047040900,23010
36047041000,28386
36047041100,25071
36047041200,33574
36047041300,31494
36047041401,29984
36047041402,37906
36047041500,32811
36047041600,30626
36047041700,26575
36047041800,31653
36047041900,22803
36047042000,22637
36047042100,34519
36047042200,31102
36047042300,34436
36047042400,25929
36047042500,34529
36047042600,31295
36047042700,39422
36047042800,45100
36047042900,30629
36047043000,21408
36047043100,33328
36047043200,28310
36047043300,18117
36047043400,23930
36047043500,29730
36047043600,24553
36047043700,27485
36047043800,33311
36047043900,30467
36047044000,29399
36047044100,26131
36047044200,43939
36047044300,46593
36047044400,20819
36047044500,34362
36047044600,25899
36047044700,31186
36047044800,38302
36047044901,23401
36047044902,N/A
36047045000,23550
36047045200,31248
36047045300,25471
36047045400,32679
36047045600,33183
36047045800,51158
36047046000,37165
36047046201,33620
36047046202,42946
36047046400,17759
36047046800,16296
36047047000,32282
36047047200,20476
36047047400,19627
36047047600,23162
36047047700,82901
36047047800,20234
36047048000,19262
36047048100,42960
36047048200,30402
36047048400,22295
36047048500,49448
36047048600,16301
36047048800,34137
36047048900,15756
36047049000,30745
36047049100,24925
36047049200,52776
36047049301,11624
36047049302,31422
36047049400,45022
36047049500,59288
36047049600,32472
36047049700,67873
36047049800,40776
36047049900,62089
36047050001,50660
36047050002,49232
36047050100,61327
36047050202,65343
36047050300,64921
36047050401,58115
36047050402,78145
36047050500,36906
36047050600,32978
36047050700,14017
36047050801,31621
36047050803,35445
36047050804,42395
36047050900,13126
36047051001,24258
36047051002,29388
36047051100,45559
36047051200,32255
36047051300,61350
36047051400,37780
36047051500,78889
36047051601,26937
36047051602,29380
36047051700,95165
36047051800,49453
36047051900,143203
36047052000,51291
36047052300,50912
36047052500,19974
36047052600,40146
36047052700,32008
36047052800,60439
36047052900,15730
36047053000,23873
36047053101,14554
36047053102,14750
36047053200,34831
36047053300,15929
36047053400,22849
36047053500,11995
36047053700,11525
36047053800,30266
36047053900,13213
36047054200,28377
36047054300,N/A
36047054400,28928
36047054500,12734
36047054600,26790
36047054700,37777
36047054800,39228
36047054900,68189
36047055000,32252
36047055100,80321
36047055200,40592
36047055300,68741
36047055400,33153
36047055500,110016
36047055600,29237
36047055700,91269
36047055800,37009
36047056000,37825
36047056100,74980
36047056200,44448
36047056301,60503
36047056302,48385
36047056400,41984
36047056500,69916
36047056600,33566
36047056800,38066
36047056900,73076
36047057000,38318
36047057100,70143
36047057200,14780
36047057300,65320
36047057400,38682
36047057500,68941
36047057600,42599
36047057800,34051
36047057901,49902
36047057902,N/A
36047058000,24542
36047058200,34905
36047058400,35740
36047058600,33170
36047058800,43702
36047058901,52105
36047058902,N/A
36047059000,30927
36047059100,61552
36047059200,31515
36047059300,44441
36047059402,44077
36047059403,31787
36047059404,38980
36047059600,40016
36047059800,35903
36047060000,47710
36047060600,46911
36047060800,46583
36047061002,53335
36047061003,22510
36047061004,25951
36047061200,76616
36047061600,62814
36047062000,50687
36047062200,38713
36047062600,31922
36047062800,39538
36047063200,39242
36047063600,44124
36047063800,41008
36047064000,50522
36047064200,30124
36047064400,37865
36047064600,38634
36047064800,36384
36047065000,32812
36047065200,50801
36047065400,44378
36047065600,55709
36047065800,40530
36047066000,50103
36047066200,51890
36047066600,N/A
36047067000,38493
36047067200,32359
36047067400,40863
36047067600,35561
36047067800,30051
36047068000,31760
36047068200,40311
36047068600,41634
36047068800,40624
36047069000,39145
36047069200,42491
36047069601,43906
36047069602,46376
36047069800,40835
36047070000,46407
36047070201,82213
36047070202,88380
36047070203,N/A
36047070601,50527
36047070602,N/A
36047072000,28072
36047072200,26465
36047072400,37879
36047072600,29698
36047072800,38210
36047073000,39023
36047073200,32308
36047073400,37293
36047073600,30492
36047073800,22742
36047074000,27139
36047074200,28072
36047074400,36128
36047074600,32096
36047074800,49627
36047075000,36205
36047075200,63546
36047075400,49754
36047075600,49879
36047075800,43219
36047076000,34221
36047076200,34954
36047076400,36337
36047076600,31543
36047076800,27788
36047077000,53799
36047077200,41364
36047077400,31650
36047077600,44385
36047078000,33261
36047078200,34458
36047078400,39288
36047078601,37127
36047078602,27171
36047078801,26334
36047078802,28147
36047079001,25256
36047079002,30655
36047079201,44148
36047079202,27960
36047079400,27799
36047079601,43310
36047079602,33301
36047079801,51040
36047079802,54678
36047080000,47717
36047080200,48522
36047080400,39450
36047080600,33621
36047080800,12062
36047081000,31125
36047081400,32739
36047081600,29369
36047081800,34298
36047082000,31623
36047082200,32929
36047082400,28120
36047082600,31085
36047082800,38484
36047083000,32023
36047083200,34214
36047083400,34032
36047083600,30224
36047083800,35547
36047084000,27931
36047084600,31292
36047084800,35165
36047085000,28779
36047085200,25763
36047085400,35305
36047085600,33441
36047085800,30824
36047086000,42180
36047086200,30194
36047086400,28779
36047086600,28387
36047086800,22983
36047087000,31215
36047087200,27586
36047087401,28627
36047087600,27482
36047087800,27807
36047088001,24590
36047088002,38556
36047088200,20714
36047088400,21842
36047088600,22414
36047088800,25655
36047089000,22929
36047089200,18842
36047089400,22196
36047089600,22429
36047089800,28413
36047090000,18998
36047090200,24667
36047090600,16958
36047090800,12662
36047091000,15925
36047091200,17278
36047091600,15922
36047091800,30811
36047092000,19652
36047092200,27876
36047092400,15045
36047092800,41554
36047093000,36058
36047093200,28382
36047093400,38597
36047093600,32791
36047093800,33828
36047094401,40987
36047094402,15985
36047094600,38314
36047095000,36422
36047095400,42102
36047095600,33518
36047095800,32127
36047096000,N/A
36047096200,28858
36047096400,31714
36047096600,25630
36047096800,31231
36047097000,31051
36047097400,27939
36047098200,16669
36047098400,33197
36047098600,31617
36047098800,30554
36047099000,31373
36047099200,29273
36047099400,31934
36047099600,30874
36047099800,32214
36047100400,30778
36047100600,32788
36047100800,33750
36047101000,32263
36047101200,35745
36047101400,36847
36047101600,38945
36047101800,46081
36047102000,42037
36047102200,32012
36047102400,30610
36047102600,36846
36047102801,41191
36047102802,N/A
36047103401,11925
36047103402,N/A
36047105801,21006
36047105804,30240
36047107001,27810
36047107002,N/A
36047107003,N/A
36047107800,34723
36047109800,21683
36047110400,20672
36047110600,14454
36047111000,15060
36047111600,24795
36047111800,24122
36047112000,25082
36047112200,17228
36047112400,22474
36047112600,25639
36047112800,26488
36047113000,24523
36047113200,23469
36047113400,16492
36047114201,29697
36047114202,22232
36047114400,23223
36047114600,25690
36047115000,21913
36047115200,19968
36047115600,14578
36047115800,22622
36047116000,19115
36047116200,24569
36047116400,22841
36047116600,28376
36047116800,27301
36047117000,16367
36047117201,27064
36047117202,29530
36047117400,20621
36047117601,28626
36047117602,23946
36047117800,16901
36047118000,N/A
36047118201,28148
36047118202,24667
36047118400,37555
36047118600,22199
36047118800,25373
36047119000,21661
36047119200,22946
36047119400,18913
36047119600,20433
36047119800,22418
36047120000,19695
36047120200,22946
36047120801,29631
36047120802,14956
36047120803,24549
36047121000,10858
36047121400,11080
36047122000,26846
36047123700,10967
36047150200,54154
